Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
,Yes,Travel_Rarely,1102,Sales,,2,Life Sciences,1,1,,Female,94,3,,Sales Executive,4,Single,5993,19479.0,8,Y,Yes,11,3,1,80,0,8,0.0,1,6.0,4,,5
,No,Travel_Frequently,279,Research & Development,,1,Life Sciences,1,2,,Male,61,2,,Research Scientist,2,Married,5130,,1,Y,No,23,4,4,80,1,10,3.0,3,10.0,7,1.0,7
37.0,Yes,Travel_Rarely,1373,Research & Development,2.0,2,Other,1,4,4.0,Male,92,2,1.0,Laboratory Technician,3,Single,2090,2396.0,6,Y,Yes,15,3,2,80,0,7,,3,,0,0.0,0
,No,Travel_Frequently,1392,Research & Development,,4,Life Sciences,1,5,4.0,Female,56,3,1.0,Research Scientist,3,,2909,23159.0,1,Y,Yes,11,3,3,80,0,8,3.0,3,8.0,7,,0
27.0,No,Travel_Rarely,591,Research & Development,,1,Medical,1,7,,Male,40,3,1.0,Laboratory Technician,2,Married,3468,16632.0,9,Y,No,12,3,4,80,1,6,,3,,2,2.0,2
32.0,No,Travel_Frequently,1005,Research & Development,2.0,2,Life Sciences,1,8,4.0,Male,79,3,1.0,Laboratory Technician,4,,3068,11864.0,0,Y,No,13,3,3,80,0,8,2.0,2,7.0,7,3.0,6
59.0,No,Travel_Rarely,1324,Research & Development,3.0,3,Medical,1,10,,Female,81,4,,Laboratory Technician,1,Married,2670,9964.0,4,Y,Yes,20,4,1,80,3,12,3.0,2,1.0,0,0.0,0
,No,Travel_Rarely,1358,Research & Development,,1,Life Sciences,1,11,4.0,Male,67,3,,Laboratory Technician,3,Divorced,2693,,1,Y,No,22,4,2,80,1,1,2.0,3,1.0,0,0.0,0
38.0,No,Travel_Frequently,216,Research & Development,23.0,3,Life Sciences,1,12,,Male,44,2,,Manufacturing Director,3,Single,9526,8787.0,0,Y,No,21,4,2,80,0,10,2.0,3,9.0,7,,8
36.0,No,Travel_Rarely,1299,Research & Development,27.0,3,Medical,1,13,,Male,94,3,,Healthcare Representative,3,,5237,16577.0,6,Y,No,13,3,2,80,2,17,3.0,2,,7,,7
